Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,5.713010,5.835870,5.638530,5.835870,4.712306,8680789
2009-01-05,5.943380,5.989450,5.686140,5.820520,4.699911,10979390
2009-01-06,5.797480,6.319640,5.705330,6.254370,5.050233,16395457
2009-01-07,6.258210,6.404100,6.086970,6.227490,5.028529,13679078
2009-01-08,6.119990,6.181420,6.000970,6.081590,4.910718,10732292
2009-01-09,6.166060,6.557680,6.081590,6.526960,5.270342,19622818
2009-01-12,6.511610,6.634470,6.434820,6.588390,5.319945,12253142
2009-01-13,6.496250,6.573040,6.043200,6.215970,5.019226,16455677
2009-01-14,6.288150,6.358030,5.531030,5.635460,4.550480,18357648
2009-01-15,5.547920,5.643900,5.057250,5.160140,4.166672,19380790
2009-01-16,5.367470,5.428900,5.213890,5.213890,4.210074,15304424
2009-01-19,5.317560,5.404330,4.576550,4.776200,3.856652,16366843
2009-01-20,4.799240,4.883700,4.069750,4.131950,3.336437,25450228
2009-01-21,4.031360,4.213350,3.839390,4.054400,3.273818,28960084
2009-01-22,4.261720,4.446010,4.019840,4.231010,3.416425,17676807
2009-01-23,4.108150,4.138860,3.655100,4.051320,3.271331,25831405
2009-01-26,4.300120,5.367470,4.300120,5.175500,4.179076,62870316
2009-01-27,5.259970,5.408170,4.668700,4.799240,3.875256,29508764
2009-01-28,4.937460,5.375150,4.923630,5.238460,4.229914,22533493
2009-01-29,5.183180,5.298360,4.829950,4.914420,3.968260,15071957
2009-01-30,4.837630,5.068000,4.730900,4.900600,3.957101,17551641
2009-02-02,4.782340,4.828420,4.572710,4.714770,3.807048,11613301
2009-02-03,4.768520,5.006570,4.591910,4.963560,4.007939,12503078
2009-02-04,5.051870,5.256130,4.979690,5.015780,4.050105,14132210
2009-02-05,4.845310,4.960490,4.695570,4.911350,3.965781,11101388
2009-02-06,4.991210,5.251520,4.933620,5.106390,4.123271,19507583
2009-02-09,4.960490,5.248450,4.960490,5.171660,4.175974,10792744
2009-02-10,5.075670,5.148620,4.799240,4.799240,3.875256,14982742
